;vf_cv_k5;vf_cv_k6;vf_cv_k8;vf_cv_k10;ndvi_cv_k5;ndvi_cv_k6;ndvi_cv_k8;ndvi_cv_k10;evi_cv_k5;evi_cv_k6;evi_cv_k8;evi_cv_k10
1;58.66666667;58.66666667;58.67863917;58.66666667;65;65;65.01618999;65;54.66666667;54.66666667;54.65261972;54.66666667
2;21.16666667;21.16666667;21.16174727;21.16666667;21.16666667;21.16666667;21.14767638;21.16666667;13.66666667;13.66666667;13.66894855;13.66666667
3;7.5;7.5;7.491791133;7.5;6.5;6.5;6.488568237;6.5;5.166666667;5.166666667;5.16269559;5.166666667
4;5.333333333;5.333333333;5.328265766;5.333333333;9.166666667;9.166666667;9.15005245;9.166666667;6.5;6.5;6.496088193;6.5
5;4.333333333;4.333333333;4.329302987;4.333333333;11.83333333;11.83333333;15.76462584;15.83333333;8.5;8.5;8.494102655;8.5
6;4.333333333;4.333333333;4.329302987;4.333333333;11.83333333;11.83333333;15.76462584;15.83333333;8.5;8.5;8.494102655;8.5
7;4.833333333;4.833333333;4.830429113;4.833333333;13.16666667;19.33333333;17.09804808;32.5;11.83333333;11.83333333;15.57550972;23.83333333
8;5.5;5.5;5.494932432;5.5;13.83333333;32;17.76373801;33.16666667;13.5;24.16666667;27.24674016;32.83333333
9;5.666666667;5.666666667;5.659376482;5.666666667;37.33333333;50.5;45.88413851;46.83333333;42.33333333;43.16666667;45.8214201;50.5
10;6.5;6.5;6.496088193;6.5;43.66666667;57.33333333;49.90929773;60.5;49.66666667;60.5;50.7178165;61.83333333
11;7.166666667;7.166666667;7.160591513;7.166666667;50.33333333;57.5;58.93451702;64;49.83333333;60.66666667;59.21043741;68.83333333
12;7.333333333;7.333333333;7.326161688;7.333333333;70.33333333;74.83333333;76.79526264;78;49.83333333;60.66666667;59.21043741;68.83333333
13;8;8;7.991791133;8;85;85;85.01894685;85;56.33333333;66.66666667;69.36471669;74.83333333
14;8.333333333;8.333333333;8.326280228;8.333333333;85;85;85.01894685;85;72.33333333;73.16666667;77.69805002;78.5
15;9.333333333;9.333333333;9.321894263;9.333333333;85;85;85.01894685;85;72.33333333;73.16666667;77.69805002;78.5
16;9.666666667;9.666666667;9.655227596;9.666666667;85;85;85.01894685;85;85;85;84.99647345;85
17;10.5;10.5;15.56863442;10.5;85;85;85.01894685;85;85;85;84.99647345;85
18;11.5;11.5;16.56430773;11.5;85;85;85.01894685;85;85;85;84.99647345;85
19;12;12;17.06321124;12;85;85;85.01894685;85;85;85;84.99647345;85
20;11.83333333;11.83333333;16.89651494;11.83333333;85;85;85.01894685;85;85;85;84.99647345;85
